Player,Age,Team,Price
Kieran Trippier,34,Newcastle Utd.,€5.1M
Raúl Jiménez,34,Fulham,€5.1M
Idrissa Gana Gueye,35,Everton,€5M
Axel Tuanzebe,27,Ipswich Town,€4.2M
Christian Eriksen,33,Man Utd,€4.2M
Matt Doherty,33,Wolverhampton,€4.2M
Jordan Ayew,33,Leicester,€4.2M
Ryan Manning,28,Southampton,€3.9M
Conor Coady,32,Leicester,€2.2M
Wes Burns,30,Ipswich Town,€2.1M
Jannik Vestergaard,32,Leicester,€2M
Luke Woolfenden,26,Ipswich Town,€2M
Cameron Burgess,29,Ipswich Town,€1.7M
Adam Smith,34,B'mouth,€1.5M
Craig Dawson,35,Wolverhampton,€1.5M
Jack Stephens,31,Southampton,€1.4M
Ashley Young,39,Everton,€1.3M
Sam Morsy,33,Ipswich Town,€1.3M
Jamie Vardy,38,Leicester,€1M
Łukasz Fabiański,40,West Ham United,€0.9M
